GoogleMapsAddress,TimeCrawled,PostalCode,Latitude,Longitude,StreetNumber,StreetAddress,Neighborhood,Borough,County,State,PostalSuffix,CurrentOverallRanking,PlaceID,OutageCustomers,Problem,CrewStatus,Cause,UniqueID,DateCrawled,TimeStampCrawled
1010 E 3 ST,16:19:40,11230,40.626622200000000,-73.974484100000000,1010,East 3rd Street,Midwood,Brooklyn,Kings County,New York,2612,2,ChIJqaW89NBEwokRL36xrd0DCD0,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7BAF7576-3B02-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607617181
102 CANTON CT,11:47:58,11229,40.589858300000000,-73.923375499999984,102,Canton Court,Gerritsen Beach,Brooklyn,Kings County,New York,6379,4,ChIJMT8hkndDwokRm-736fepkz0,1,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,FD2BAA96-3ADC-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607600879
10520 QUEENS BLVD,15:15:13,11375,40.722434600000000,-73.848125300000000,10520,Queens Boulevard,Forest Hills,Queens,Queens County,New York,NULL,9,ChIJQ3SCISRewokRmuOlM_i_qAY,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,15864422-3AF9-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607613314
125 WYONA ST,15:56:30,11207,40.676381400000000,-73.893979500000000,125,Wyona Street,Cypress Hills,Brooklyn,Kings County,New York,NULL,1,ChIJHWbuOkxcwokRmfca1DurnrM,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,8B722DD0-3AFF-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607615791
127 BEVERLY RD,16:26:46,10305,40.600744700000000,-74.077214400000000,127,Beverly Road,Concord,Staten Island,Richmond County,New York,2638,7,EiwxMjcgQmV2ZXJseSBSZCwgU3RhdGVuIElzbGFuZCwgTlkgMTAzMDUsIFVTQSIaEhgKFAoSCXF8AVL9TsKJESiL_rbM6oP1EH8,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,2993209C-3B04-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607617606
15014 CENTREVILLE ST,15:21:57,11417,40.669366000000000,-73.839089000000000,150-14,Centreville Street,Jamaica,Queens,Queens County,New York,2933,14,ChIJfVyaNGJnwokRsUsa1CZRWb0,1,Burning Wires,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,FF3CAFE2-3AFA-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607613718
1800 BEDFORD AV,13:39:18,11225,40.661721000000000,-73.957189800000000,1800,Bedford Avenue,Prospect Lefferts Gardens,Brooklyn,Kings County,New York,3904,5,ChIJab7kbW1bwokReFjmWv6asj4,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,3E33CE24-3AEC-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607607559
181 E 92 ST,16:22:23,10128,40.782926800000000,-73.951391100000000,181,East 92nd Street,NULL,Manhattan,New York County,New York,NULL,17,EiYxODEgRSA5Mm5kIFN0LCBOZXcgWW9yaywgTlkgMTAxMjgsIFVTQSIbEhkKFAoSCVeDUV6kWMKJEffFZpm7zkBFELUB,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7BAF7576-3B02-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607617343
241 71 ST,13:20:59,10023,40.778729100000000,-73.983530900000000,241,West 71st Street,NULL,Manhattan,New York County,New York,3701,12,ChIJvd4I52FYwokRHWkmUl4t8AE,14,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,29EA19F2-3AEA-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607606459
245 71 ST,13:35:48,10023,40.778779500000000,-73.983641600000000,245,West 71st Street,NULL,Manhattan,New York County,New York,3701,12,ChIJL2HM52FYwokR8Ulb76cGQGw,14,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,3E33CE24-3AEC-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607607348
247 71 ST,13:36:49,10021,40.768611000000000,-73.959448000000000,247,East 71st Street,NULL,Manhattan,New York County,New York,4501,15,ChIJYR0w1sFYwokR_5M15PANdN4,14,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,3E33CE24-3AEC-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607607410
267 W 89 ST,16:40:48,10024,40.790687400000000,-73.975794400000016,267,West 89th Street,NULL,Manhattan,New York County,New York,1724,16,ChIJNwPsyYNYwokRszQM4FgqY2o,1,Building Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1F169048-3B06-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607618448
2900 FLATBUSH AV,16:33:35,11234,40.599207200000000,-73.911796700000000,2900,Flatbush Avenue,NULL,Brooklyn,Kings County,New York,NULL,3,ChIJDxJ4JhNDwokRbb0-4bjIgWc,1,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,0087FFFA-3B05-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607618016
3820 AVENUE L,15:09:31,11210,40.622677000000000,-73.937669800000000,3820,Avenue L,Flatlands,Brooklyn,Kings County,New York,5449,6,ChIJGWz6tKlEwokRn1kXh-fBtPg,1,Burning Wires,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,15864422-3AF9-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607612972
55 PALMER AV,15:35:13,10302,40.631541200000000,-74.133011000000000,55,Palmer Avenue,Elm Park,Staten Island,Richmond County,New York,2104,10,ChIJ4YeWCttNwokRvAMsGZtyQ14,1,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,06A00E44-3AFD-11EB-B6A0-000D3A8A7223,2020-12-10 00:00:00.000,1607614513
