GoogleMapsAddress,TimeCrawled,PostalCode,Latitude,Longitude,StreetNumber,StreetAddress,Neighborhood,Borough,County,State,PostalSuffix,CurrentOverallRanking,PlaceID,OutageCustomers,Problem,CrewStatus,Cause,UniqueID,DateCrawled,TimeStampCrawled,DateFixed
" P @W/S POWLS CV &amp; 154 ST PUM",04:24:17,92093,32.880060399999996,-117.234013500000000,9500,Gilman Drive,La Jolla,NULL,San Diego County,California,NULL,NULL,ChIJT69MQcQG3IARpz6Rifyqtu8,1,Area Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,4E04ECC0-2DFE-11EB-9EF0-000D3A9D4EC8,2020-11-24 00:00:00.000,1606192402.000000000000000,2020-11-24 22:59:41.243
1 ACORN PL,09:21:10,10465,40.812123100000000,-73.807598200000000,1,Acorn Place,East Bronx,The Bronx,Bronx County,New York,NULL,14,ChIJt1_MxByLwokR2Vy6t7kgsWA,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,D70602E8-2E35-11EB-9EF0-000D3A9D4EC8,2020-11-24 00:00:00.000,1606209686.000000000000000,2020-11-24 10:00:24.613
1 BANBURY CROSS,14:21:51,10583,40.983563100000000,-73.818679000000000,1,Banbury Cross,Beech Hill,NULL,Westchester County,New York,4801,NULL,ChIJpfJAAz6TwokRHwVK1eU6nJI,1,Service Wires Down,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,8D7B2262-363B-11EB-B6A0-000D3A8A7223,2020-12-04 00:00:00.000,1607091712.000000000000000,2020-12-04 15:28:06.423
1 CHARDONNAY RD,15:41:31,10567,41.282180000000000,-73.878223700000000,1,Chardonnay Road,NULL,NULL,Westchester County,New York,5131,NULL,ChIJc2QeFlDIwokRRFSShc5ZyOM,17,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,037817DC-1543-11EB-A427-000D3A9ABAE4,2020-10-23 00:00:00.000,1603467698.000000000000000,2020-10-25 00:23:01.437
1 CHERRY CT,06:06:26,12020,43.000000000000000,-74.000000000000000,1,Cherry Court,NULL,NULL,Saratoga County,New York,NULL,NULL,EigxIENoZXJyeSBDdCwgQmFsbHN0b24gU3BhLCBOWSAxMjAyMCwgVVNBIhoSGAoUChIJVXsJalw-3okRdHHnVTEVHhUQAQ,18,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,C5F5DFC6-0862-11EB-9D9B-000D3A9ABAE4,2020-10-07 00:00:00.000,1602050879.000000000000000,2020-10-25 00:23:01.437
1 CLARA CT,17:07:01,10567,41.310750900000000,-73.907000400000000,1,Clara Court,NULL,NULL,Westchester County,New York,NULL,NULL,ChIJ9Qi-FhTJwokRvWPKxrrEnMY,1,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,A00E2C0E-1A06-11EB-A427-000D3A9ABAE4,2020-10-29 00:00:00.000,1603991222.000000000000000,2020-10-29 17:19:12.597
1 DON LA,21:18:20,10038,40.712114799999984,-74.001891700000016,1,Police Plaza Path,NULL,Manhattan,New York County,New York,1403,8,ChIJYcHoGyRawokR9rSZ9FTdFMk,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,2BAEB460-281A-11EB-9EF0-000D3A9D4EC8,2020-11-16 00:00:00.000,1605561553.000000000000000,2020-11-16 21:46:50.180
1 E POST RD,19:48:07,10601,41.025261600000000,-73.771020800000000,1,East Post Road,NULL,NULL,Westchester County,New York,NULL,NULL,ChIJJ1pRUz-UwokR_CYDoyXBQNQ,1,Partial Outage,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,15C8A9D4-22C1-11EB-9EF0-000D3A9D4EC8,2020-11-09 00:00:00.000,1604951570.000000000000000,2020-11-11 22:22:03.917
1 GALLOWAY LA,15:03:45,NULL,40.712775300000000,-74.005972800000000,NULL,NULL,NULL,NULL,NULL,New York,NULL,NULL,ChIJOwg_06VPwokRYv534QaPC8g,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,7918694E-1929-11EB-A427-000D3A9ABAE4,2020-10-28 00:00:00.000,1603897426.000000000000000,2020-10-29 04:40:14.323
1 GREENLAWN RD,22:22:44,NULL,40.740656900000000,-74.064043000000016,NULL,U.S. Route 1,NULL,NULL,NULL,New York,NULL,NULL,EhdVUy0xLCBOZXcgWW9yaywgTlksIFVTQSIuKiwKFAoSCUVfGslyaKOJEfcuAd9th7smEhQKEgk7CD_TpU_CiRFi_nfhBo8LyA,1,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,FDF889C0-0CCF-11EB-A9BA-000D3A9ABAE4,2020-10-12 00:00:00.000,1602541399.000000000000000,2020-10-25 00:23:01.437
